bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,Weibull,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",41,2.022322065,1.957971635,2.781956573,1.714627602,3.885358547,3.648911837,1.662993808,2.879211062,3.12860954
"BMR = 10%: Added, BMR: 0.1",42,1.664867829,3.471075794,2.762422954,3.127042193,3.885358547,1.385531417,2.314366317,2.890809147,3.384524295
"BMR = 10%: Added, BMR: 0.1",43,2.863756773,1.495665066,2.235198922,4.083823793,3.870357958,1.562835818,1.612623023,2.668574097,2.595649202
"BMR = 10%: Added, BMR: 0.1",44,2.161918322,1.400214563,2.525942329,2.42029431,3.923644042,1.169028386,1.933910665,2.560939184,2.855953143
"BMR = 10%: Added, BMR: 0.1",45,7.259864044,1.286652892,3.012247352,2.180270293,3.854790574,0.882549624,1.947370636,3.167908269,3.105192826
"BMR = 10%: Added, BMR: 0.1",46,3.25047366,1.624293242,3.021060717,2.359529435,3.788354627,0.894598999,1.329717844,2.758154902,2.992867088
"BMR = 10%: Added, BMR: 0.1",47,1.305098857,1.711312617,3.12367047,2.871852269,3.93018608,4.168126447,1.316177511,2.652679409,1.944119575
"BMR = 10%: Added, BMR: 0.1",48,1.183100401,6.434522946,3.177456999,3.052632655,3.761226472,6.273144957,2.388911435,2.581436462,2.261658442
"BMR = 10%: Added, BMR: 0.1",49,3.04950182,4.255551148,3.278298375,3.193676291,3.761226472,5.203858737,2.385128765,2.636433782,2.825828481
"BMR = 10%: Added, BMR: 0.1",50,1.413593524,2.960094232,2.511881977,2.399479617,12.38647296,3.738842981,1.026899452,2.692015117,3.549652754
"BMR = 10%: Added, BMR: 0.1",51,2.285064787,2.018378388,2.6690991,1.841697836,20.01018674,1295.988439,1.587238206,2.792172167,3.169334926
"BMR = 10%: Added, BMR: 0.1",52,4.747978955,1.496492905,2.846943067,1.761441045,14.74847704,1199.749753,1.22012713,2.631758469,2.155873859
"BMR = 10%: Added, BMR: 0.1",53,1.959678059,2.724351489,2.879383491,1.631580222,13.06047209,1202.24074,1.776729113,2.683321122,1.83278494
"BMR = 10%: Added, BMR: 0.1",54,2.627406583,2.418391555,2.887012211,3.036651804,4.229602138,1136.501556,2.909945714,2.683321122,3.718121853
"BMR = 10%: Added, BMR: 0.1",55,1.483120441,2.31476182,2.840802195,2.325803996,3.617996169,523.3249471,2.959211451,2.63291683,4.416133286
"BMR = 10%: Added, BMR: 0.1",56,1.509719829,1.474342289,2.698910677,2.595153104,4.331954919,4.090844713,1.572180076,2.676049107,1.024569203
"BMR = 10%: Added, BMR: 0.1",57,2.509423144,3.191659535,2.623762921,1.659982785,4.06290297,3.623601097,2.284833909,2.681719755,8.710837304
"BMR = 10%: Added, BMR: 0.1",58,2.042876922,1.954255193,2.81049289,4.732157967,3.364340792,3.118645922,1.99027989,2.788485238,1.962575169
"BMR = 10%: Added, BMR: 0.1",59,2.882987446,2.105822925,2.675638429,5.121466151,3.012725532,2.848108037,2.254392414,2.81649707,2.121579764
"BMR = 10%: Added, BMR: 0.1",60,1.707736845,1.72204236,2.674623031,1.68577181,3.032292711,2.737013401,3.545266228,2.741286816,1.945811881
"BMR = 10%: Added, BMR: 0.1",61,1.892340338,2.465013853,2.856325352,1.479736599,3.007237713,3.206267112,3.177539747,2.823565293,0.259483302
